seed,firm_id,step,price,wage,employees,inventory,production,capital,profit,revenue,costs,sales,quality,marketing,bankrupt
1002324,firm_0,1,62.26,36.23,10,0,114,104432.59,6629.74,7097.64,467.9,114,0.35,0.42,False
1002324,firm_0,2,56.03,39.85,11,0,127,110111.6,6617.36,7115.81,498.45,127,0.35,0.32,False
1002324,firm_0,3,53.23,41.84,11,0,128,115657.6,6306.24,6813.44,507.2,128,0.4,0.42,False
1002324,firm_0,4,55.89,39.75,11,0,127,121507.23,6586.88,7098.03,511.15,127,0.45,0.52,False
1002324,firm_0,5,61.48,41.74,11,0,126,128285.87,7237.78,7746.48,508.7,126,0.45,0.42,False
1002324,firm_0,6,55.33,41.74,11,0,127,134342.49,6515.76,7026.91,511.15,127,0.45,0.32,False
1002324,firm_0,7,60.86,37.57,12,0,138,141152.23,7860.58,8398.68,538.1,138,0.45,0.42,False
1002324,firm_0,8,60.86,35.69,13,0,149,148483.9,8495.64,9068.14,572.5,149,0.5,0.42,False
1002324,firm_0,9,66.95,35.69,13,0,149,157115.53,9395.6,9975.55,579.95,149,0.55,0.52,False
1002324,firm_0,10,73.65,32.12,14,0,160,167133.85,11168.0,11784.0,616.0,160,0.6,0.42,False
1002324,firm_0,11,77.33,32.12,15,0,172,178597.01,12644.96,13300.76,655.8,172,0.65,0.32,False
1002324,firm_0,12,85.06,28.91,16,0,182,192123.97,14789.52,15480.92,691.4,182,0.7,0.42,False
1002324,firm_0,13,80.81,26.02,17,0,193,205747.21,14865.58,15596.33,730.75,193,0.75,0.52,False
1002324,firm_0,14,88.89,24.72,18,0,205,222160.95,17458.7,18222.45,763.75,205,0.75,0.62,False
1002324,firm_0,15,97.78,25.96,19,0,216,241494.19,20326.48,21120.48,794.0,216,0.75,0.62,False
1002324,firm_0,16,102.67,27.26,20,0,229,263130.67,22681.68,23511.43,829.75,229,0.75,0.62,False
1002324,firm_0,17,97.54,28.62,21,0,240,284579.25,22549.6,23409.6,860.0,240,0.75,0.62,False
1002324,firm_0,18,92.66,30.05,22,0,252,305875.47,22457.32,23350.32,893.0,252,0.75,0.62,False
1002324,firm_0,19,83.39,31.55,23,0,263,325658.14,21008.32,21931.57,923.25,263,0.75,0.62,False
1002324,firm_0,20,87.56,33.13,24,0,275,347485.77,23122.75,24079.0,956.25,275,0.75,0.62,False
1002324,firm_0,21,91.94,29.82,25,0,286,371548.61,25308.34,26294.84,986.5,286,0.75,0.62,False
1002324,firm_0,22,82.75,31.31,26,0,297,393794.55,23560.0,24576.75,1016.75,297,0.75,0.62,False
1002324,firm_0,23,86.89,31.31,27,0,309,418148.44,25799.26,26849.01,1049.75,309,0.75,0.72,False
1002324,firm_0,24,91.23,31.31,28,0,320,444885.36,28113.6,29193.6,1080.0,320,0.75,0.72,False
1002324,firm_0,25,95.79,32.88,29,0,332,474021.12,30689.28,31802.28,1113.0,332,0.75,0.82,False
1002324,firm_0,26,86.21,34.52,30,0,343,500695.15,28409.63,29570.03,1160.4,343,0.8,0.82,False
1002324,firm_0,27,77.59,31.07,31,0,354,525507.64,26275.66,27466.86,1191.2,354,0.8,0.82,False
1002324,firm_0,28,81.47,27.96,32,0,366,552706.14,28593.22,29818.02,1224.8,366,0.8,0.72,False
1002324,firm_0,29,85.54,29.36,33,0,377,582230.24,30992.98,32248.58,1255.6,377,0.8,0.72,False
1002324,firm_0,30,89.82,32.3,34,0,391,614456.86,33824.82,35119.62,1294.8,391,0.8,0.72,False
1002324,firm_0,31,94.31,35.53,35,0,402,649300.33,36587.02,37912.62,1325.6,402,0.8,0.72,False
1002324,firm_0,32,89.59,37.31,36,0,414,683188.23,35731.06,37090.26,1359.2,414,0.8,0.62,False
1002324,firm_0,33,94.07,39.18,37,0,425,719828.32,38589.75,39979.75,1390.0,425,0.8,0.62,False
1002324,firm_0,34,98.77,41.14,36,0,413,757562.24,39414.96,40792.01,1377.05,413,0.85,0.52,False
1002324,firm_0,35,103.71,45.25,37,0,425,797832.24,42644.25,44076.75,1432.5,425,0.9,0.52,False
1002324,firm_0,36,108.9,47.51,38,0,436,841542.86,46016.0,47480.4,1464.4,436,0.9,0.52,False
1002324,firm_0,37,103.46,49.89,39,0,448,883725.63,44828.48,46350.08,1521.6,448,0.95,0.52,False
1002324,firm_0,38,108.63,52.38,40,0,459,929437.55,48307.12,49861.17,1554.05,459,0.95,0.52,False
1002324,firm_0,39,114.06,55.0,41,0,471,978591.81,52109.26,53722.26,1613.0,471,1.0,0.52,False
1002324,firm_0,40,119.76,57.75,42,0,482,1031520.53,56054.22,57724.32,1670.1,482,1.05,0.42,False
1002324,firm_0,41,125.75,60.64,43,0,493,1088479.46,60266.45,61994.75,1728.3,493,1.1,0.42,False
1002324,firm_0,42,119.46,63.67,44,0,505,1143514.53,58536.55,60327.3,1790.75,505,1.15,0.42,False
1002324,firm_0,43,125.43,66.85,45,152,516,1182851.6,43045.32,45656.52,2611.2,364,1.2,0.42,False
1002324,firm_0,44,112.89,70.19,46,0,528,1253772.06,74849.2,76765.2,1916.0,680,1.25,0.42,False
1002324,firm_0,45,118.53,73.7,47,0,543,1311978.05,62369.89,64361.79,1991.9,543,1.3,0.32,False
1002324,firm_0,46,124.46,77.39,48,0,555,1374579.38,67016.05,69075.3,2059.25,555,1.35,0.22,False
1002324,firm_0,47,130.68,81.26,49,247,562,1407944.14,37846.5,41164.2,3317.7,315,1.35,0.12,False
1002324,firm_0,48,117.61,85.32,49,0,562,1496599.15,93035.69,95146.49,2110.8,809,1.4,0.12,False
1002324,firm_0,49,123.49,89.59,50,256,577,1527818.14,36198.49,39640.29,3441.8,321,1.4,0.1,False
1002324,firm_0,50,111.14,94.07,51,0,589,1614001.82,91681.25,93913.3,2232.05,845,1.45,0.1,False
1002324,firm_0,51,122.25,84.66,52,244,600,1648900.5,40001.0,43521.0,3520.0,356,1.5,0.1,False
1002324,firm_0,52,110.02,88.89,53,15,612,1733568.55,90079.22,92526.82,2447.6,841,1.55,0.1,False
1002324,firm_0,53,115.52,93.33,54,337,623,1758603.6,30674.87,34771.52,4096.65,301,1.55,0.2,False
1002324,firm_0,54,103.97,98.0,55,117,635,1838336.95,85823.35,88894.35,3071.0,855,1.6,0.2,False
1002324,firm_0,55,93.57,102.9,56,0,646,1900710.56,68836.01,71393.91,2557.9,763,1.65,0.2,False
1002324,firm_0,56,98.25,108.05,57,0,658,1956098.51,62046.8,64648.5,2601.7,658,1.65,0.2,False
1002324,firm_0,57,93.34,113.45,58,0,669,2008587.57,59769.16,62444.46,2675.3,669,1.7,0.1,False
1002324,firm_0,58,102.67,119.12,59,474,681,2017122.48,16162.99,21252.69,5089.7,207,1.7,0.2,False
1002324,firm_0,59,92.4,125.08,60,0,692,2113861.08,104943.4,107738.4,2795.0,1166,1.75,0.2,False
1002324,firm_0,60,97.02,131.33,61,343,704,2135583.97,30434.02,35024.22,4590.2,361,1.8,0.1,False
1002324,firm_0,61,87.32,137.9,62,0,715,2215765.98,89431.81,92384.56,2952.75,1058,1.85,0.1,False
1002324,firm_0,62,78.59,144.8,63,0,726,2259968.52,54024.94,57056.34,3031.4,726,1.9,0.1,False
1002324,firm_0,63,74.66,152.04,64,0,738,2301521.94,51983.98,55099.08,3115.1,738,1.95,0.1,False
1002324,firm_0,64,70.93,136.84,65,0,749,2341995.36,49968.02,53126.57,3158.55,749,1.95,0.2,False
1002324,firm_0,65,67.38,136.84,66,0,761,2380434.15,48070.23,51276.18,3205.95,761,1.95,0.3,False
1002324,firm_0,66,64.01,143.68,67,0,772,2416473.91,46166.32,49415.72,3249.4,772,1.95,0.2,False
