seed,step,household_id,money,skill_level,max_acceptable_price,employer,wage,wealth_type
1002324,1,0,1243.25,0.82,332.51,suppliers,36.12,medium
1002324,1,1,1603.92,0.29,285.94,suppliers,36.12,medium
1002324,1,2,1697.09,0.51,181.36,suppliers,36.12,medium
1002324,1,3,1415.67,0.65,486.19,suppliers,36.12,low
1002324,1,4,1306.59,0.81,352.63,suppliers,36.12,medium
1002324,1,5,1743.28,0.68,87.06,suppliers,36.12,medium
1002324,1,6,1832.34,0.7,380.49,suppliers,36.12,medium
1002324,1,7,1431.99,0.82,540.06,suppliers,36.12,high
1002324,1,8,1674.85,0.72,558.36,suppliers,36.12,medium
1002324,1,9,1597.23,0.54,360.2,suppliers,36.12,high
1002324,1,10,1554.17,0.84,732.21,suppliers,36.12,medium
1002324,1,11,1698.41,0.3,491.36,suppliers,36.12,medium
1002324,1,12,1674.45,0.81,475.33,suppliers,36.12,high
1002324,1,13,813.66,0.49,36.52,suppliers,36.12,medium
1002324,1,14,1495.48,0.36,348.85,suppliers,36.12,medium
1002324,1,15,1107.15,0.61,145.96,suppliers,36.12,low
1002324,1,16,1795.58,0.25,103.84,suppliers,36.12,high
1002324,1,17,1774.18,0.5,788.42,suppliers,36.12,medium
1002324,1,18,1459.33,0.86,161.95,suppliers,36.12,high
1002324,1,19,1571.11,0.72,189.07,suppliers,36.12,low
1002324,1,20,1691.52,0.31,83.52,suppliers,36.12,medium
1002324,1,21,663.3,0.37,342.95,suppliers,36.12,high
1002324,1,22,1059.46,0.94,123.99,firm_2,41.95,medium
1002324,1,23,1445.23,0.56,20.5,suppliers,36.12,low
1002324,1,24,1731.42,0.38,484.29,suppliers,36.12,medium
1002324,1,25,1486.9,0.9,250.26,firm_7,32.89,high
1002324,1,26,1659.35,0.45,463.46,suppliers,36.12,high
1002324,1,27,1391.53,0.43,663.05,suppliers,36.12,high
1002324,1,28,1258.12,0.91,595.71,firm_0,36.23,high
1002324,1,29,1603.15,0.5,787.56,suppliers,36.12,high
1002324,1,30,1637.02,0.78,78.55,suppliers,36.12,high
1002324,1,31,1681.15,0.44,265.43,suppliers,36.12,low
1002324,1,32,1674.38,0.59,395.26,suppliers,36.12,medium
1002324,1,33,1702.04,0.76,702.75,suppliers,36.12,high
1002324,1,34,1560.92,0.94,378.97,firm_2,41.95,high
1002324,1,35,925.73,0.72,406.29,suppliers,36.12,high
1002324,1,36,1349.89,0.71,655.0,suppliers,36.12,medium
1002324,1,37,1793.71,0.45,606.39,suppliers,36.12,low
1002324,1,38,1687.8,0.57,230.87,suppliers,36.12,medium
1002324,1,39,1623.99,0.27,355.84,suppliers,36.12,medium
1002324,1,40,1520.47,0.84,337.76,suppliers,36.12,low
1002324,1,41,1649.61,0.67,591.73,suppliers,36.12,low
1002324,1,42,1664.64,0.57,636.36,suppliers,36.12,low
1002324,1,43,1623.65,0.46,239.32,suppliers,36.12,medium
1002324,1,44,1425.59,0.37,700.97,suppliers,36.12,medium
1002324,1,45,1395.83,0.79,51.94,suppliers,36.12,medium
1002324,1,46,1761.96,0.33,476.27,suppliers,36.12,high
1002324,1,47,1443.65,0.53,418.85,suppliers,36.12,medium
1002324,1,48,1303.95,0.81,437.92,suppliers,36.12,high
1002324,1,49,1274.47,0.6,157.78,suppliers,36.12,high
1002324,1,50,1299.96,0.27,555.36,suppliers,36.12,high
1002324,1,51,936.33,0.48,313.32,suppliers,36.12,medium
1002324,1,52,1401.46,0.52,129.74,suppliers,36.12,medium
1002324,1,53,1775.61,0.32,729.99,suppliers,36.12,medium
1002324,1,54,1782.35,0.76,223.42,suppliers,36.12,medium
1002324,1,55,1245.62,0.46,123.44,suppliers,36.12,medium
1002324,1,56,1424.29,0.7,159.18,suppliers,36.12,high
1002324,1,57,1300.74,0.35,267.64,suppliers,36.12,medium
1002324,1,58,1511.55,0.69,324.8,suppliers,36.12,medium
1002324,1,59,1517.11,0.78,669.56,suppliers,36.12,medium
1002324,1,60,1580.2,0.91,566.65,firm_0,36.23,low
1002324,1,61,1488.83,0.9,338.86,firm_7,32.89,low
1002324,1,62,1674.6,0.87,494.91,suppliers,36.12,medium
1002324,1,63,1606.57,0.65,33.28,suppliers,36.12,high
